! '':4
! -rrb-:60
! .:6
! </s>:1518
!! -rrb-:3
!! -rsb-:1
!! .:4
!! </s>:132
!!! '':1
!!! -rrb-:2
!!! .:5
!!! </s>:82
!!!! 2:1
!!!! a:1
!!!! being:1
!!!! did:1
!!!! easy:2
!!!! finally:1
!!!! i:2
!!!! idk:1
!!!! instead:1
!!!! its:1
!!!! more:1
!!!! ok:1
!!!! purchased:1
!!!! so:1
!!!! the:1
!!!! this:5
!!!! very:1
!!!! way:1
!!!! what:1
!!!!! amazing:1
!!!!! and:1
!!!!! believe:1
!!!!! everything:1
!!!!! i:3
!!!!! no:1
!!!!! these:2
!!!!! this:1
!!!!!! as:1
!!!!!! i:2
!!!!!! love:1
!!!!!!! everything:1
!!!!!!! first:1
!!!!!!! i:1
!!!!!!!!!!! would:1
!!!!!!!!!!!!!!!!!! moreeven:1
!!!!!?????? i:1
!!!???? the:1
!? '':1
!? -rrb-:1
!? </s>:1
# !!!!:1
# $:1
# ':1
# .:1
# /:1
# 1:7
# 10:1
# 12:2
# 2:3
# 3:4
# wow:1
### gt:1
with dimarzio:2
with dimarzios:1
with direct:1
with dirty:1
with disbelief:1
with discs.i:1
with dish:1
with dispersions:1
with distilled:2
with distortion:6
with does:1
with doing:1
with dot:1
with dowels:1
with down-loadable:1
with dozens:2
with dr:1
with drive/od/distortion:1
with drop:1
with drops:1
with drum:1
with drums:2
with dry:1
with drywall:1
with ds-1:1
with duct:2
with due:1
with dunlop:4
with durability:1
with dust:1
with dynamic:2
with each:6
with ear:1
with earlier:1
with ease:9
with easy:3
with ebony:1
with effect:1
with effects:4
with ehx:1
with eight:1
with either:5
with electric:3
with electrical:1
with electrics:1
with electronic:1
with elixers:2
with elixir:8
with elixirs:1
with emg:1
with engagement:1
with enough:5
with epiphone:1
with epoxy:1
with eq:3
with equalization:1
with equipment:1
with ernie:5
with evans:1
with even:2
with every:6
with everything:5
with exactly:1
with excellence:1
with excellent:7
with excess:1
with exl:1
with exp:2
with expensive:1
with experience:1
with exquisite:1
with external:1
with extra:2
with eyelets:1
with fairly:1
with falls:1
with family:1
with fast:2
with features:2
with feedback:1
with feedback.from:1
with fellow:1
with fender:7
with fenders:1
with few:3
with fidelity:1
with figure:1
with finger:1
with fingernails:1
with fingers:3
with first:1
with fishman:1
with flatpicking:1
with flats:1
with flatter:1
with floating:1
with flourescent:1
with foam:1
with folding:2
with for:2
with form:1
with four:1
with free:5
with friends:8
with from:1
with full:2
with functionality:2
with fuse:1
with fws:1
with gain:2
with garage:3
with garageband:3
with garageband.this:1
with gel:1
with general:1
with gerlitz:1
with getting:2
with ghost:1
with gibson:2
with gimmicks:1
with giving:1
with gls:1
with glue:1
with gold:1
with good:35
with gravity:1
with great:15
with greater:2
with green:1
with grip:2
with gripping:1
with guitar:9
with guitars:4
with guitars.the:1
with half:1
with hands-on:1
with handsome:1
with happy:1
with hard:1
with harder:1
with hardly:1
with harmonica:1
with harmonics:2
with has:1
with have:1
with having:1
with headphones:4
with headstocks:1
with heap-big:1
with hearing:2
with heat:1
with heavier:5
with heavy:7
with height:1
with helpful:1
with hendrix:1
with her:5
with hexagonal:1
with high:8
with high-quality:1
with higher:3
with him:1
with his:6
with hiss:2
with holding:1
with holes:1
with hollow:1
with home:3
with horns:1
with horrible:1
with hosa:1
with how:8
with humbucker:2
with humbuckers:7
with in:2
with incandescent:1
with included:2
with increased:1
with individual:1
with injection:1
with input:1
with inputs:2
with instructions:1
with instrument:1
with integrated:1
with interfaces:1
with interior:1
with ios:1
with ios7:1
with iphone:1
with is:6
with it:254
with it!the:1
with it.and:1
with it.another:1
with it.aside:1
with it.definitely:1
with it.good:1
with it.it:2
with it.just:1
with it.lets:1
with it.they:1
with it.you:1
with itleather:1
with its:34
with itunes:1
with jack_iodelay:1
with jason:1
with jazz:1
with jimmy:1
with joyo:1
with jp:1
with just:22
with keyboards:1
with knob:1
with korg:1
with labeled:1
with labella:1
with large:2
with lasted:1
with latency:1
with layer:1
with leather:5
with led:2
with less:11
with less/more:1
with lessons:1
with lever:1
with lexan:1
with light:4
with light/extra:1
with lighter:2
with lights:1
with like:1
with limited:1
with limitless:1
with line:1
with little:17
with littleabuse:1
with live:3
with loads:1
with locks:1
with locktite:1
with long:1
with looking:1
with loose:1
with lots:12
with loud:2
with low:3
with low/high:1
with lower:3
with lp:1
with lute:1
with lyrics:1
with mac:1
with mahogany:1
with mail:1
with maintenance:1
with making:1
with manhattan:1
with manufacturer:1
with many:7
with mark:1
with martin:1
with marvelous:1
with mastery:1
with maybe:1
with me:30
with me.i:1
with me.if:1
with medium:1
with metal:5
with mic/controller:1
with microphones:1
with mics/cables:1
with mid-gain:1
with midi:1
with miking:1
with mine:7
with minimal:2
with misc:1
with missing:1
with mixed:2
with mm:1
with modelers:1
with modeling:1
with moderate:1
with moonflowers:1
with more:22
with mosfet:1
with most:16
with most/all:1
with much:4
with multiple:4
with music:3
with musiccons:1
with mxr:1
with my:320
with mymxl:1
with myon:1
with myself:1
with n3:1
with nails:1
with needlenose:1
with negative:3
with neighbors:1
with new:7
with news:1
with next:1
with ni:1
with nice:1
with nicely:1
with nicer:2
with nitro:1
with no:113
with noise:2
with noisless:1
with normal:3
with not:6
with notes:1
with nothing:4
with notoriously-noisy:1
with now:1
with nylon:1
with object:1
with of:1
with offshore:2
with old:1
with older:2
with on:7
with on/off:1
with onboard:1
with one:50
with oneof:1
with only:14
with open:2
with optional:1
with options:1
with or:9
with organization:1
with osx:1
with other:50
with others:6
with our:4
with out:8
with over:5
with overblowing:1
with owning:1
with p:1
with p-90:2
with p-90s:1
with pa:1
with packaging:1
with padding:1
with paper:1
with partial:1
with passive:1
with paua:1
with pawnshops:1
with pe:1
with peace:1
with pearly:1
with pedals:5
with pedaltrain:1
with pegs:1
with perfect:2
with performance:3
with personal:1
with phantom:3
with phosphor:1
with piano:1
with pick:3
with picking:1
with picks:3
with pickup:1
with pictures:1
with pieces:1
with pinch:1
with pivoting:1
with placement:1
with placing:1
with planet:3
with plastic:4
with playback:1
with playing:4
with plenty:12
with pliers:1
with polish:2
with polytune:1
with poor:2
with pop:1
with positive:1
with power:1
with powered:1
with practice:2
with press:1
with pretty:2
with price/assortment:1
with prime:1
with pristine:1
with pro:2
with problems:1
with proel:1
with professional:1
with programs:1
with pronounced:1
with proper:1
with protective:1
with protools:1
with purchase:5
with pure:1
with push-down:1
with putting:2
with pyle-pro:1
with quality:14
with quiet:1
with quite:1
with radiused:2
with rca:1
with real:4
with reaper:1
with reaper.i:1
with reason:2
with reasonable:1
with reasonably:1
with recording:1
with regard:1
with regards:2
with regular:4
with relations:1
with resonant:1
with resonator:1
with respect:2
with respect.the:1
with responsive:1
with results:1
with reverb:2
with reverse:1
with reversible:1
with rocksmith:1
with room:4
with rough:1
with rounded:1
with rubber:3
with rubbing:1
with rws:1
with saddle:1
with said:1
with sandpaper:1
with savarez:1
with saxophones:1
with say:1
with saying:1
with schaller:6
with scientific:1
with scratches:1
with screws:1
with sealed:1
with self:1
with service:2
with serviceable:1
with settings:1
with several:9
with sharpie:1
with shiny:1
with shipping:2
with shock:1
with shockingly:1
with shoulder:1
with shrink:1
with signal:2
with significantly:1
with silicone:1
with silver:2
with similar:3
with simple:5
with singing:1
with single:5
with single-coils:1
with skype:1
with skype.to:1
with slick:1
with slide:1
with slight:3
with slightly:1
with slipping:1
with slots:1
with small:8
with smaller:1
with smartphone:1
with snarks:1
with so:4
with soft:7
with softer:1
with software:3
with solid:2
with some:62
with someone:2
with something:10
with sonar:1
with sonor/cakewalk:1
with sony:1
with soprano:1
with sound:7
with spare:1
with sparkling:1
with speaking:1
with special:1
with speed:1
with spring:1
with ss/bs:1
with stainless:2
with stand:1
with standard:3
with stars:1
with stay:1
with steel:3
with stepping:1
with stereo:1
with sticky:1
with stomp:1
with strap:3
with straps:2
with stress:1
with stretching:1
with string:1
with strings:5
with stripped:1
with strumming:1
with sturdy:1
with such:3
with super:2
with superb:1
with surprisingly:2
with sustain:2
with sweaty:2
with swinging:1
with switchable:1
with tape:1
with taper:1
with ten:1
with tested:1
with tex-mex:1
with that:39
with that.pros:1
with that?i:1
with the:997
with thecloth:1
with their:23
with them:78
with them.buy:1
with them.i:2
with them.regards:1
with them.thanks:1
with thepyle:1
with thesamson:1
with these:120
with these.but:1
with these.i:1
with these.j.m:1
with these.the:1
with these.they:1
with thevisual:1
with thick:4
with thicker:1
with thin:1
with this:346
with this.this:1
with those:11
with thought:1
with threaded:1
with threads:1
with three:3
with three-sheet-wide:1
with thunderous:1
with tight:1
with tighter:1
with time:4
with timely:1
with tired:1
with to:2
with tone:3
with tones:1
with tons:5
with too:1
with toothbrush:1
with tortex:1
with totally:1
with touring:1
with toy:1
with tracks:1
with traditional:3
with trash:1
with treble:1
with trial:1
with tricky:1
with true:2
with truly:1
with truss:1
with trying:1
with tube:1
with tube-like:1
with tubes:1
with tusq:1
with twin:1
with two:22
with two-head:1
with ultra:2
with uncoated:1
with unit:1
with unlimited:2
with unstable:1
with until:1
with unwanted:1
with up:1
with updated:1
with us:2
with usb:3
with use:5
with use.the:1
with useful:1
with using:6
with usps:1
with various:11
with varying:1
with vci:1
with velcro:2
with very:9
with vibrate:1
with vibrations:1
with video:1
with vintage:2
with vista:1
with vocals:1
with voice:1
with volume:2
with voodo:1
with voodoo:1
with vox:1
with vw:1
with wall-board:1
with warm:2
with warmth:1
with was:1
with washers:2
with water:2
with wd40:1
with weak:1
with wear:1
with well:1
with were:1
with whammy:1
with what:13
with when:2
with where:1
with which:4
with while:2
with wider:1
with win7:2
with wind:1
with windows:3
with wireless:1
with witch:1
with with:1
with wonderful:1
with wood:4
with wooden:1
with woofer:2
with words:1
with worn:1
with x-large:1
with xbox:1
with xenyx:1
with xlr:2
with years:1
with you:14
with you.i:1
with your:56
with yourself:2
with youtube:1
with zero:3
with!amazing amplifier:1
with.fender start:1
with.i 've:1
with.if you:1
with.it did:1
with.march 29:1
with.small enough:1
with.still ,:1
witha laptop:1
withd `:2
withdanelectro d-8:1
withdunlop dual:1
withe yours:1
withfingerease guitar:1
withframes/period ::1
within .:1
within 10:3
within 3:1
within 30:1
within 5:1
within 6/10ths:1
within a:18
within about:1
within any:1
within breaks:1
within grasp:1
within in:1
within its:3
within just:1
within minutes:1
within my:2
within one:1
within protective:1
within reason:1
within seconds:1
within six:1
within the:13
within these:1
within this:2
within two:1
within your:1
without !!:1
without &#34;:1
without ,:1
without .:3
without a:50
without actual:2
without adding:3
without additional:2
without affecting:1
without all:1
without altering:1
without an:8
without anchor:1
without anchoring:1
without and:2
without annoying:1
without any:53
without anything:1
without at:1
without background:1
without barney:1
without becoming:1
without being:19
without bending:1
without benefit:1
without binding:1
without blemish:1
without bogus:1
without bothering:4
without breaking:2
without bulk:1
without bulky:1
without bumping:1
without buying:2
without causing:2
without changing:2
without chasing:1
without clicks:1
without collapsing:1
without color:1
without coloring:1
without committing:2
without compromising:2
without costing:2
without covering:2
without crackles:1
without crazy:1
without damaging:3
without debate:1
without decent:1
without digging:5
without disconnecting:1
without distortion:2
without distracting:1
without disturbing:3
without doing:2
without drilling:1
without driving:1
without effecting:1
without electronics:1
without errors:1
without even:2
without ever:2
without falling:2
without fastening:1
without fear:1
without feedback:2
without feeling:3
without filching:1
without folding:1
without forethought:1
without giving:1
without glasses:1
without going:2
without grips:1
without harming:2
without having:35
without hearing:1
without help.good:1
without hesitation:10
without hesitation.i:1
without hitting:1
without holding:1
without hooking:1
without hype:1
without in:1
without interference:2
without issue:6
without issue.my:1
without issues:2
without it:21
without it.again:1
without it.it:1
without itbut:1
without lighting:1
without looking:2
without losing:2
without loss:1
without making:6
without maring:1
without marring:1
without me:1
without messing:2
without modification.get:1
without moving:2
without much:3
without my:5
without noticeable:1
without on/off:1
without one:6
without opening:1
without overkill:1
without paying:1
without playing:3
without plugging:1
without practice:1
without pressure:1
without problem:1
without problems:4
without putting:2
without raising:1
without reading:1
without regard:1
without relying:1
without requiring:1
without reservation:1
without residue:1
without retuning:1
without risk:1
without rocking:1
without ruining:1
without running:1
without saying:1
without scratching:2
without searching:1
without shade:1
without shredding:2
without slipping:2
without some:1
without sound:1
without spending:2
without splitting:1
without squeezing:1
without staggering:1
without stopping:1
without strap:1
without streaking:1
without stressing:1
without success:1
without taking:1
without taxing:1
without testing:1
without that:5
without the:59
without them:1
without them.overall:1
without these:5
without thinking:1
without this:10
without tipping:3
without too:5
without touching:3
without trying:3
without turning:1
without undoing:1
without using:4
without wavering:1
without working:1
without worry.the:1
without worrying:6
without yanking:1
without you:3
withstand a:2
withstand abuse:1
withstand frequent:1
withstand play:1
withstand the:3
withstand years:1
withstood a:1
withstood over:1
withstood the:1
withthem .:1
witness a:1
witnessed how:1
wo n't:217
wobble .:1
wobble and:1
wobble phase:1
wobble.i 'll:1
wobbles and:1
wobbles just:1
wobbles up:1
wobbley on:1
wobbling ,:1
wobbling.seriously ,:1
wobbly once:1
wobbly.color options:1
wolfgang ,:1
wolliams ':1
wolves burned:1
womack &#8217;:1
woman ,:2
woman for:1
woman with:1
womanize ,:1
women 's:1
women .:1
women followed:1
won ;:2
won a:1
won hands:1
won over:1
wonder !:1
wonder ,:1
wonder .:2
wonder about:1
wonder how:4
wonder i:1
wonder if:10
wonder results:1
wonder what:5
wonder why:2
wondered ::1
wondered how:1
wondered if:1
wondered later:1
wondered why:1
wonderfual addition:1
wonderful !:2
wonderful ,:5
wonderful -:1
wonderful .:15
wonderful ...:1
wonderful ::1
wonderful `:1
wonderful ability:1
wonderful and:3
wonderful because:1
wonderful but:1
wonderful case:1
wonderful clean:1
wonderful company:2
wonderful crisp:1
wonderful deal:1
wonderful effect:1
wonderful for:1
wonderful gifts:1
wonderful harmonics:1
wonderful harp:1
wonderful innovation:1
wonderful job:1
wonderful little:2
wonderful not:1
wonderful picks:1
wonderful piece:1
wonderful polish:1
wonderful price:1
wonderful product:3
wonderful recorder.bottom:1
wonderful reference:1
wonderful rich:1
wonderful set-up:1
wonderful sound:2
wonderful string:1
wonderful strings:1
wonderful switch:1
wonderful system:1
wonderful to:1
wonderful tool:1
wonderful transparency:1
wonderful tuner:1
wonderful uses:1
wonderful warranty:1
wonderful when:1
wonderful with:1
wonderful.my only:1
wonderfully .:5
wonderfully ...:1
wonderfully accurate:1
wonderfully and:1
wonderfully onto:1
wonderfully priced:1
wonderfully reliable.i:1
wonderfully smooth:1
wonderfully tuned:1
wondering ,:1
wondering .:1
wondering ``:1
wondering about:1
wondering how:2
wondering if:3
wondering just:1
wondering what:1
wonders ,:1
wonders .:1
wonders for:3
wonders of:1
wonders to:1
wont be:11
wont break:2
wont change:1
wont drive:1
wont drop:1
wont embarrass:1
wont fail:1
wont feel:1
wont find:1
wont get:1
wont go:1
wont have:1
wont last:4
wont order:1
wont really:1
wont regret:4
wont say:1
wont slip:1
wont turn:1
wont work:1
woo hoo:1
wood !:1
wood &#34;:1
wood '':1
wood ,:6
wood -lrb-:2
wood -rrb-:1
wood .:6
wood absorbs:1
wood acoustic:1
wood also:1
wood and:3
wood are:1
wood art:1
wood as:1
wood becoming:1
wood blinds:1
wood box:1
wood color:1
wood color.so:1
wood construction:1
wood creaking:1
wood desk:1
wood drill:1
wood easily:1
wood feeling:1
wood finish:2
wood glue:3
wood grain:4
wood i:1
wood in:2
wood instruments:1
wood is:4
wood like:1
wood looking:1
wood looks:1
wood materials:1
wood of:1
wood on:3
wood ones:1
wood or:1
wood over:1
wood pegs:1
wood quite:1
wood resonater:1
wood screw:1
wood screws:4
wood smooth:1
wood stain:1
wood studs:1
wood surface:1
wood to:1
wood ukulele:1
wood used:1
wood wall:1
wood was:1
wood with:1
wood.i very:1
wooden ;:1
wooden backplate:1
wooden holder:1
wooden splinters:1
wooden table:1
woodgrain better:1
woods ,:1
woods like:1
woods series:1
woods swell:1
woods that:1
woodshedding companion:1
woodshop project:1
woodstock fuzz:1
woodwinds and:1
woody ,:1
woody -rrb-:1
woody for:1
woody sound:1
woody through:1
woof on:1
woofer -rrb-:1
woofer and:3
wool ,:1
wool awesome:1
wooly ,:1
woosh ,:1
word &#34;:1
word ,:1
word -rrb-:1
word .:2
word ...:2
word ``:2
word about:4
word adapter:1
word content:1
word for:2
word i:1
word in:1
word microfiber:1
word of:4
word on:1
word or:1
word review:1
word stomp:1
word to:2
word word:9
word.i have:1
wordi am:1
wording .:2
wording about:1
words &#34;:1
words ,:8
words -rrb-:1
words .:1
words ::1
words ?:1
words by:1
words do:1
words helps:1
words i:1
words out:1
words required:2
words so:1
words that:1
words they:1
words to:2
words.if you:1
wore off:1
wore out:3
wore really:1
work !:3
work ,:45
work -:2
work --:1
work -lrb-:1
work -rrb-:3
work .:60
work ...:2
work 100x:1
work 6:1
work ?:1
work a:6
work about:1
work across:1
work adequately:1
work again:1
work although:1
work amazingly:1
work and:18
work any:1
work anyway:1
work appropriately:1
work around:7
work around.lately:1
work as:18
work at:7
work beautifully:1
work bench:1
work best:5
work better:9
work better.the:1
work but:7
work by:2
work clearly:1
work consistently.if:1
work correctly:2
work desk:2
work either:2
work even:1
work every:1
work exceptionally:1
work extremely:2
work fairly:1
work fantastic:1
work fine:31
work flawlessley:1
work flawlessly:2
work flawlessly.the:1
work flow:1
work for:36
work from:2
work good:4
work great:55
work great!i:1
work great.for:1
work great.good:1
work guitar:1
work half:1
work harder:1
work horse:2
work i:3
work if:4
work in:12
work is:5
work it:2
work its:1
work itself:1
work joyo:1
work just:18
work like:3
work making:1
work mat:2
work most:1
work much:5
work nicely:2
work no:1
work now:2
work of:3
work ok:3
work okay:1
work on:37
work one:1
work or:1
work out:7
work particularly:1
work perfect:3
work perfectly:10
work plugged:1
work pretty:2
work properly:3
work properly.from:1
work quite:2
work really:8
work right:4
work smoothly:1
work so:7
work song:1
work sort:1
work specifically:1
work surface.the:1
work than:1
work that:4
work the:5
work their:2
work they:1
work this:2
work through:1
work to:9
work together:2
work too:2
work very:27
work was:1
work well:83
work wetting:1
work when:1
work whether:1
work which:1
work will:1
work with:57
work with.small:1
work without:1
work.at first:1
work.decent case:1
work.i actually:1
work.i love:1
work.i pulled:1
work.i would:1
work.in contrast:1
work.overall ,:1
work.this unit:1
work.you can:1
workable ,:1
workable and:1
workable levels:1
workable options:1
workable range:1
workable way:1
workable with:1
workand the:1
workaround for:1
workarounds -lrb-:1
workarounds .:1
workarounds that:1
workbench ,:1
workbench .:2
workbench when:1
worked '':1
worked ,:7
worked -lrb-:1
worked .:8
worked ;:1
worked a:1
worked amazingly:1
worked and:1
worked as:3
worked beautifully:3
worked best:1
worked equally:3
worked exactly:1
worked excellently:1
worked fine:12
worked fine.i:1
worked first:1
worked flawlessly:7
worked for:4
worked good:2
worked great:24
worked great.i:1
worked great.so:1
worked hard:1
worked immediately:1
worked in:4
worked its:1
worked just:3
worked like:4
worked much:2
worked my:2
worked nice:1
worked nicely:1
worked no:1
worked ok:1
worked okay.the:1
worked on:3
worked only:1
worked out:13
worked perfect:1
worked perfectly:11
worked quite:2
worked really:2
worked so:1
worked surprisingly:1
worked that:2
worked the:1
worked there:1
worked to:1
worked very:6
worked well:22
worked while:1
worked with:6
worked!and who:1
worked!its easy:1
worked.okay so:1
workgs great.delivered:1
workhorse and:1
workhorse for:1
working ,:5
working -lrb-:2
working .:7
working ...:1
working 3-way:1
working about:1
working after:5
working all:1
working altogether:1
working amazing:1
working and:4
working as:1
working at:2
working because:1
working condition:3
working demo:1
working fairly:1
working fine:4
working for:4
working good:1
working great:5
working great!main:1
working happily:1
working hard:1
working just:3
working knowledge:1
working like:1
working man:1
working musician:3
working my:1
working off:1
working ok:3
working on:11
working order:2
working out:2
working perfect:1
working perfectly:2
working pro:1
working properly:2
working really:1
working reliably:1
working shortly:1
working they:1
working to:1
working very:2
working violin:1
working well:4
working well.i:1
working with:5
working without:1
working your:1
working-man 's:1
working.-changeable mesh:1
working.i was:1
working.unfortunately they:1
workings .:1
workings inside:1
workmanlike ,:1
workmanship .:1
workmanship ...:1
workmanship compares:1
workmanship is:1
workmanship issues:1
workmanship seems:1
workmanship.however ,:1
workout ':1
workout ,:1
workout .:1
workout.what would:1
works !:12
works !!!:1
works &#34;:1
works ,:17
works .:52
works ...:3
works 100:2
works ?:1
works a:2
works after:1
works all:1
works almost:1
works along:1
works amazing:3
works amazingly:3
works and:20
works as:66
works awesome:3
works beautifully:5
works before:1
works best:10
works better:17
works brilliantly:1
works but:9
works by:3
works correctly:1
works customer:1
works darn:1
works different:1
works easily:1
works effectively:1
works equally:1
works even:2
works exactly:8
works exceedingly:1
works excellent:2
works exceptionally:1
works extremely:2
works fairly:1
works fantastic:3
works fantastically:1
works far:1
works fast:1
works fast/accurate:1
works faster:1
works fine:54
works fine.pros:1
works flawless:1
works flawlessly:11
works for:37
works good:10
works good.good:1
works great:216
works great!i:1
works great!it:1
works great.definately:1
works great.enjoy:1
works great.for:1
works great.if:1
works great.the:1
works i:1
works if:2
works in:7
works individually:1
works its:1
works just:42
works like:29
works more:1
works much:3
works nicely:5
works nicely.and:1
works no:1
works off:1
works ok:7
works okay:4
works on:17
works only:1
works or:1
works out:3
works particularly:1
works perfect:16
works perfectly:36
works perfectly.i:1
works perfectly.super:1
works plugged:1
works practically:1
works pretty:5
works properly:1
works quit:5
works quite:7
works really:20
works reasonably:1
works right:1
works seemless:1
works simply:1
works smoothly:3
works so:8
works solid:1
works some:1
works surprisingly:2
works the:5
works this:2
works to:2
works together:1
works twice:1
works very:43
works well:159
works well.i:1
works well.sometimes:1
works well.the:1
works wellability:1
works welll.not:1
works when:1
works which:1
works will:1
works with:21
works without:4
works wonderfully:2
works wonders:4
works.average quality:1
works.but expect:1
works.i already:1
works.one suggestion:1
works.well ,:1
works2 .:1
workshop presenters:1
workshop style:1
workshops ,:1
workshops that:1
workss as:1
workstation .:3
world !:1
world !!:1
world 's:1
world ,:6
world -lrb-:1
world .:7
world ?:1
world and:1
world because:1
world but:1
world can:1
world either:1
world from:1
world has:1
world in:2
world of:10
world that:1
world the:1
world to:3
world tour:5
world with:1
world.just today:1
worlds best:1
worlds better:2
worlds crappiest:1
worlds.recommended !:1
worldwide use:1
worn ,:1
worn and:2
worn appeareance:1
worn but:1
worn down:1
worn from:1
worn in:1
worn it:1
worn off:2
worn one:1
worn out:4
worn windings:1
worried about:16
worried at:1
worried i:1
worried it:2
worried that:7
worries ,:1
worries -:1
worries .:1
worries about:3
worries me:3
worries of:2
worries or:1
worries their:1
worries though:1
worries were:1
worry &#34;:1
worry ,:2
worry .:4
worry ;:1
worry a:1
worry about:64
worry about.update:1
worry again:1
worry anymore:1
worry but:1
worry me:1
worry of:1
worry that:3
worry the:1
worry they:1
worry too:1
worry-free session:1
worry.the design:1
worrying about:7
worrying that:1
worse !:1
worse ,:2
worse -:1
worse -rrb-:1
worse .:3
worse ...:1
worse ;:1
worse and:1
worse even:1
worse every:1
worse for:1
worse having:1
worse is:1
worse over:1
worse reliability:1
worse strings:1
worse than:9
worse the:1
worse when:1
worse.my advice:1
worse.what i:1
worsened .:1
worship leader:1
worship n:1
worship school:1
worship team:2
worship.i appreciate:1
worst ,:1
worst .:3
worst capo:1
worst case:1
worst contaminant:1
worst customer:1
worst from:1
worst i:1
worst intentions:1
worst it:1
worst pedal:1
worth $:9
worth ,:1
worth .:6
worth ...:1
worth 10:1
worth 10.00:1
worth 100:1
worth 4:1
worth 4-starring:1
worth a:13
worth an:1
worth any:1
worth buying:4
worth checking:6
worth complaining:1
worth considering:5
worth every:24
worth far:2
worth for:1
worth getting:2
worth gettingused:1
worth going:1
worth having:4
worth here:1
worth hundreds:1
worth it:52
worth it.definitely:1
worth its:1
worth knocking:1
worth losing:1
worth lowering:1
worth many:1
worth mention:1
worth mentioning:5
worth mentioning.they:1
worth more:1
worth much:1
worth my:1
worth noting:2
worth of:7
worth price:1
worth purchasing:1
worth spending:3
worth taking:3
worth the:153
worth their:1
worth to:2
worth twice:2
worth upgrading:1
worth what:2
worth when:1
worth while:1
worth yer:1
worthiness of:1
worthless ,:1
worthless .:2
worthless and:1
worthless for:1
worthless purchase:1
worthwhile !:1
worthwhile ,:1
worthwhile .:1
worthwhile and:1
worthwhile buy:1
worthwhile for:1
worthwhile purchase:1
worthwhile versus:1
worthy ,:1
worthy .:1
worthy companion.a:1
worthy for:1
worthy however:1
worthy improvement:1
worthy of:1
worthy pairing:1
worthy pedal:1
worthy replacement:1
worthy they:1
worx /:1
would %:1
would 've:9
would ,:4
would -:2
would .:9
would ...:1
would ;:1
would absolutely:2
would accomplish:1
would actually:4
would add:1
would adequately:1
would advise:1
would affect:1
would agree:1
would allow:2
would almost:2
would also:10
would always:1
would an:1
would and:1
would any:1
would anyone:1
would appear:1
would appreciate:1
would approximate:1
would arrive:1
would assume:4
would at:1
would avoid:1
would barely:1
would be:207
would benefit:1
would boost/amplify:1
would buy:47
would buzz:2
would by:1
would call:5
would carry:1
would cause:3
would certainly:2
would change:2
would choose:1
would clean:1
would clear:1
would color:1
would come:4
would compare:2
would completely:1
would consider:5
would continue:1
would contrast:1
would convenient:1
would cost:6
would cover:1
would crack:1
would cut:1
would damage:1
would defeinitely:1
would defiantly:1
would definately:4
would definitely:26
would depend:1
would derive:1
would describe:1
would difenantly:1
would discharge:1
would distort:1
would do:16
would drive:1
would drop:1
would earn:1
would easily:3
would effect:1
would eliminate:2
would enable:1
would encounter:1
would enjoy:1
would estimate:1
would even:1
would ever:5
would expect:18
would explain:1
would feedback.well:1
would feel:2
would fill:1
would find:2
would fit:6
would for:1
would forward:1
would from:1
would generate:2
would get:10
would gig:1
would give:20
would glue:1
would go:13
would grip:1
would guess:1
would handle:1
would hang:1
would happen:2
would happily:2
would have:102
would hazard:1
would hear:1
would hear.note:1
would hear.when:1
would help:7
would highly:22
would hold:6
would hook:1
would hurt:1
would i:7
would if:1
would imagine:2
would improve:1
would in:1
would include:1
would inevitably:1
would inspire:1
would it:3
would jump:1
would just:13
would keep:3
would kick:1
would kill:1
would kind:1
would last:6
would leave:1
would let:3
would like:31
would like.the:1
would likely:4
would look:5
would love:6
would make:26
would miss:1
would n't:131
would necessarily:1
would need:11
would never:14
would normally:4
would not:83
would note:1
would of:1
would often:2
would on:1
would only:8
would operate:1
would order:2
would otherwise:3
would pass:2
would pay:5
would perfectly:1
would perform:1
would personally:1
would pick:1
would pin:1
would predict:1
would prefer:7
would press:1
would probably:21
would probalby:1
would protect:1
would provide:2
would purchase:10
would push:1
would put:2
would quickly:1
would rarely:3
would rate:1
would rather:9
would react:1
would really:4
would reccomend:1
would reccommend:1
would recognize:1
would recomed:1
would recomend:4
would recomende:1
would recomened:1
would recommend:136
would recomment:1
would reduce:1
would rely:1
would replace:3
would require:1
would result:1
would run:1
would sacrifice:1
would safely:1
would save:1
would say:27
would see:2
would seek:1
would seem:1
would send:2
would separate:1
would serve:1
would ship:1
would shop:2
would simply:1
would since:1
would sit:1
would slide:1
would slowly:1
would solve:1
would some:2
would somehow:1
would soon:1
would sound:9
would specify:1
would spread:1
would stack:1
would stand:2
would stay:4
would steal:1
would steer:1
would step:1
would stick:2
would still:8
would stop:2
would strongly:3
would suddenly:1
would suffice:1
would suggest:14
would suit:1
would support:2
would survive:2
would swear:2
would swivel:1
would take:9
would tarnish:2
would tell:1
would that:1
would the:1
would these:1
would think:14
would throw:2
would tip:1
would translate:2
would truly:1
would trust:2
would try:12
would turn:1
would use:18
would want:8
would waste:1
would wear:2
would wholeheartedly:1
would wobble:1
would work:20
would work.this:1
would worry:1
would write:1
would yield:1
would you:2
would you?i:1
would-be thieves:1
wouldappear to:1
wouldd cut:1
wouldnt gig:1
wouldnt use:1
woulnd up:1
wound ,:3
wound -:1
wound -lrb-:1
wound -rrb-:2
wound .010:1
wound 11:1
